Name,Use Case,Type,Location,Quantity,Price,Code,Barcode
Colitis (colitis-aid tea),"Colitis relief, digestive support",Loose Leaf Herb,"Panel C, D",,,,
canela powder,"Blood sugar control, flavoring",Loose Leaf Herb,"Panel C, D",,,,
cineraria powder,Eye health,Loose Leaf Herb,"Panel C, D",,,,
curcuma powder,"Anti-inflammatory, joint health",Loose Leaf Herb,"Panel C, D",,,,
Fenogreko (fenugreek),"Blood sugar, lactation, digestion",Loose Leaf Herb,"Panel C, D",,,,
Graviola leaf- Hoja de Guanabana,"Immune support, relaxation",Loose Leaf Herb,"Panel C, D",,,,
Canutillo (mormon tea),"Respiratory issues, energy",Loose Leaf Herb,"Panel C, D",,,,
Azafran- Mexican Safflower,"Circulation, digestion",Loose Leaf Herb,"Panel C, D",,,,
Romero,"Memory, circulation, hair health",Loose Leaf Herb,"Panel C, D",,,,
Lychee black tea,"Antioxidants, energy",Loose Leaf Herb,"Panel C, D",,,,
Incienso negro,"Spiritual cleansing, meditation",Loose Leaf Herb,"Panel C, D",,,,
Hinojo,"Digestion, bloating",Loose Leaf Herb,"Panel C, D",,,,
Comino,"Digestion, immune support",Loose Leaf Herb,"Panel C, D",,,,
Grenetina Hidrolizado,"Joint health, skin, hair",Loose Leaf Herb,"Panel C, D",,,,
Muitle (muicle),"Blood purification, anemia",Loose Leaf Herb,"Panel C, D",,,,
incienso,"Spiritual cleansing, relaxation",Loose Leaf Herb,"Panel C, D",,,,
Copal 42,"Spiritual cleansing, meditation",Loose Leaf Herb,"Panel C, D",,,,
Raiz de Malva,"Soothing throat, respiratory issues",Loose Leaf Herb,"Panel C, D",,,,
Palo Azul,"Kidney health, urinary tract",Loose Leaf Herb,"Panel C, D",,,,
Neurobion Forte (mix blend),"Nerve health, energy, vitamin B",Loose Leaf Herb,"Panel C, D",,,,
Ruda,"Menstrual support, digestion, spiritual cleansing, fertility",Loose Leaf Herb,"Panel C, D",,,,
Incienso de Lagrimita,"Spiritual cleansing, meditation",Loose Leaf Herb,"Panel C, D",,,,
Cedron (lemon vervena),"Digestion, relaxation, sleep",Loose Leaf Herb,"Panel C, D",,,,
Hojas de Higo (Fig leaves),"Blood sugar control, respiratory health",Loose Leaf Herb,"Panel C, D",,,,
Hierba del Perro,"Digestive issues, anti-inflammatory",Loose Leaf Herb,"Panel C, D",,,,
Mujer Sana OvariSan (Healthy Women Mix Tea),"Ovarian health, hormonal balance, fertility",Loose Leaf Herb,"Panel C, D",,,,
Regenera- Te (Regeneration Tea),"Cellular health, vitality",Loose Leaf Herb,"Panel C, D",,,,
Hierba San Juan (St. John's wort),"Mood support, depression, anxiety",Loose Leaf Herb,"Panel C, D",,,,
Hierba Luisa (Lemon Grass),"Digestion, relaxation",Loose Leaf Herb,"Panel C, D",,,,
Laurel (Bay Leaves),"Digestion, respiratory health",Loose Leaf Herb,"Panel C, D",,,,
Palo Santo Wood,"Spiritual cleansing, relaxation, energy clearing",Loose Leaf Herb,"Panel C, D",,,,
Riñon Sano (Super Kidney Support),"Kidney health, urinary support",Loose Leaf Herb,"Panel C, D",,,,
Prostata (Prostate blend mix),Prostate health,Loose Leaf Herb,"Panel C, D",,,,
Ahuhuete (Montezuma Baldycypress),"Circulation, wound healing",Loose Leaf Herb,"Panel C, D",,,,
Damiana (Damiana Leaves),"Aphrodisiac, mood support, energy",Loose Leaf Herb,"Panel C, D",,,,
"Sage smudge kit (w/ feather, palo santo, shell)","Spiritual cleansing, energy clearing",Loose Leaf Herb,"Panel C, D",,,,
Higado Sano (Healythy Liver Support),"Liver health, detoxification",Loose Leaf Herb,"Panel C, D",,,,
Chile Morita (Morita Chili Pods),"Culinary use, circulation",Loose Leaf Herb,"Panel C, D",,,,
Insienso 3 Reyes,"Spiritual cleansing, meditation",Loose Leaf Herb,"Panel C, D",,,,
Abedul (Birch),"Diuretic, joint health",Loose Leaf Herb,"Panel C, D",,,,
Hierba Luisa (Lemon Grass),"Digestion, relaxation",Loose Leaf Herb,"Panel C, D",,,,
California White Sage (x3),"Spiritual cleansing, energy clearing",Loose Leaf Herb,"Panel C, D",,,,
Cenizo (Ashen),"Respiratory issues, cough",Loose Leaf Herb,"Panel C, D",,,,
Diabetina (Diabena herb),Blood sugar management,Loose Leaf Herb,"Panel C, D",,,,
Palo Santo Powder,"Spiritual cleansing, incense",powder,"Panel C, D",,,,
Atri-San (arthritis support),"Joint health, arthritis relief",Loose Leaf Herb,"Panel C, D",,,,
Chile Nego (Negro Chili Pods),"Culinary use, circulation",Loose Leaf Herb,"Panel C, D",,,,
Garañona (painted cup) herb,"Menstrual cramps, reproductive health, fertility",Loose Leaf Herb,"Panel C, D",,,,
Magnolia (herb),"Anxiety, stress relief, sleep",Loose Leaf Herb,"Panel C, D",,,,
Encino (oak),"Astringent, diarrhea, gum health",Loose Leaf Herb,"Panel C, D",,,,
Espino Blanco (Tejocote/Howthorne),"Heart health, blood pressure",Loose Leaf Herb,"Panel C, D",,,,
Guarumbo (Trumpet Tree),"Blood sugar management, respiratory health",Loose Leaf Herb,"Panel C, D",,,,
Achicoria (Chicory),"Liver health, digestion",Loose Leaf Herb,"Panel C, D",,,,
Azahar de Jasmin (Jasmin Flowers),"Relaxation, sleep, stress relief",Loose Leaf Herb,"Panel C, D",,,,
Fast Luck Incense- Manifest Luck,"Spiritual intention, luck manifestation",incense,"Panel C, D",,,,
Fire of Love- Helps create passion incense,"Spiritual intention, romance",incense,"Panel C, D",,,,
Frankincense & Myrrh Incense- uplifting purifying,"Spiritual cleansing, meditation",incense,"Panel C, D",,,,
Sandalwood,"Relaxation, meditation, spiritual cleansing",incense,"Panel C, D",,,,
Amber,"Calming, spiritual intention",incense,"Panel C, D",,,,
Palo Santo,"Spiritual cleansing, energy clearing",incense,"Panel C, D",,,,
Money Drawing,"Spiritual intention, abundance manifestation",incense,"Panel C, D",,,,
Jerusalem - cleansing and spiritual uplifting,"Spiritual cleansing, uplifting energy",incense,"Panel C, D",,,,
Azufre Polvo (Sulfur),"Skin conditions, spiritual cleansing",,"Panel C, D",,,,
May Raiz de Manzana ,"Digestive issues, weight loss",Loose Leaf Herb,"Panel C, D",8,$4.99,none,none
Mostaza Amarilla,"Culinary, anti-inflammatory, respiratory",Loose Leaf Herb,"Panel C, D",13,$4.50,none,none
Mostaza Negra,"Culinary, respiratory, pain relief",Loose Leaf Herb,"Panel C, D",7,$3.99,none,none
Pimienta de Guinea ,"Culinary, digestive, anti-inflammatory",Loose Leaf Herb,"Panel C, D",5,$5.99,none,none
Baño 7 Plantas Aromaticas,"Spiritual cleansing, relaxation",Loose Leaf Herb,"Panel C, D",3,$5.99,none,none
Raiz de Tejocote ,"Weight loss, digestive health",Loose Leaf Herb,"Panel C, D",7,$4.99,none,none
Prodigiosa,"Digestive health, blood sugar control",Loose Leaf Herb,"Panel C, D",12,$4.99,none,none
Mejorana,"Digestion, respiratory health, calming",Loose Leaf Herb,"Panel C, D",7,$2.99,,
Te Tarahumara,"Digestion, respiratory, general wellness",Loose Leaf Herb,"Panel C, D",5,$4.99,none,none
Palo Tres Costillas (Supple Jack),"Kidney health, urinary tract",branches,"Panel C, D",7,$3.95,none,none
Oregano Silvestre,"Antimicrobial, respiratory health, digestion",Loose Leaf Herb,"Panel C, D",5,$4.99,none,none
Matcha,"Antioxidants, energy, metabolism",powder,"Panel C, D",2,?,none,none
Siempre Viva,"Skin conditions, wound healing, anti-inflammatory",,"Panel C, D",6,$3.99,,
Bromelain Powder,"Digestion, anti-inflammatory, joint health",powder,"Panel C, D",12,$3.99,,
Pasiflora,"Sleep aid, anxiety, relaxation",,"Panel C, D",12,$3.99,none,none
Palo Brazil Logwood,"Kidney health, urinary tract, circulation",tree bark,"Panel C, D",12,$5.99,,
Palo Dulce,"Kidney health, urinary tract, digestion",tree bark,"Panel C, D",21,$4.00,,
Epazote,"Parasites, digestive issues, culinary",,"Panel C, D",2,$15,,
Pimienta negra ,"Culinary, digestion, antioxidants",,"Panel C, D",31,,,
Ovaritol,"Ovarian health, hormonal balance, fertility",,"Panel C, D",7,$3.99,,
Te Negro,,,"Panel C, D",,,,
Patchuli,"Skin conditions, relaxation, spiritual",,"Panel C, D",13,,,
Hoja de Ajo Entra,"Cardiovascular health, immune support",,"Panel C, D",3,$3.99,,
Hoja de Ajo Molido,"Cardiovascular health, immune support",,"Panel C, D",3,$3.99,,
Hoja de Ajo Macho Entero,"Cardiovascular health, immune support, spiritual protection",,"Panel C, D",5,$3.99,,
Baño Herbal  Desenvolvimiento,"Spiritual cleansing, opening paths, personal growth",Baño Herbal,Panel A,,,,
Baño Herbal  Rompe Barreras,"Breaking down obstacles, overcoming barriers",Baño Herbal,Panel A,,,,
Baño Herbal  Llama Clientes,"Attracting clients, increasing sales, business success",Baño Herbal,Panel A,,,,
Baño Herbal  Quita Maldicion,"Removing curses, spiritual cleansing, protection",Baño Herbal,Panel A,,,,
Baño Herbal  21 Plantas,"Deep spiritual cleansing, purification, overall well-being",Baño Herbal,Panel A,,,,
Baño Herbal Amor,"Attracting love, romance, passion, relationship harmony",Baño Herbal,Panel A,,,,
Baño Herbal Destrancadera,"Unblocking paths, removing stagnation, opening doors",Baño Herbal,Panel A,,,,
Baño Herbal Tumba Trabajo,"Reversing negative magic, removing hexes or crossed conditions",Baño Herbal,Panel A,,,,
Baño Herbal Anamu,"Protection, breaking hexes, immune support",Baño Herbal,Panel A,,,,
Baño Herbal Reversible,"Sending back negative energy, reversing curses to the sender",Baño Herbal,Panel A,,,,
Baño Herbal Rompe Zaraguey,"Intense spiritual cleansing, removing severe negative energy",Baño Herbal,Panel A,,,,
Baño Herbal 7 Potencias Africanas,"Empowerment, spiritual strength, invoking the 7 African Powers",Baño Herbal,Panel A,,,,
Baño Herbal Prosperidad y Exito en los Negocios,"Prosperity, business success, wealth attraction",Baño Herbal,Panel A,,,,
Baño Herbal El Lupon Señor de Los Inmigrantes,"Protection for immigrants, safe travels, overcoming legal hurdles",Baño Herbal,Panel A,,,,
 Baño Herbal 13 Hierbas Sagradas,"Sacred cleansing, spiritual elevation, purification",Baño Herbal,Panel A,,,,
Baño Herbal Abre Caminos,"Opening paths, new opportunities, clearing the way",Baño Herbal,Panel A,,,,
Baño Herbal Orishas Ogun,"Protection, strength, overcoming enemies, invoking Ogun",Baño Herbal,Panel A,,,,
Baño Herbal Rompe Brujeria,"Breaking witchcraft, removing spells and hexes",Baño Herbal,Panel A,,,,
Baño Herbal Tabaco de los 7 Indios,"Protection, spiritual grounding, connecting with ancestors",Baño Herbal,Panel A,,,,
Baño Herbal Elegua,"Opening and closing paths, communication, invoking Elegua",Baño Herbal,Panel A,,,,
Baño Herbal 7 Fuerzas,"Spiritual strength, power, overcoming difficulties",Baño Herbal,Panel A,,,,
Baño Herbal Vencedor,"Victory, overcoming challenges, success in endeavors",Baño Herbal,Panel A,,,,
Baño Herbal Orishas Obatala,"Peace, clarity, spiritual purity, invoking Obatala",Baño Herbal,Panel A,,,,
Baño Herbal Rompe Cadenas,"Breaking chains, liberation from bad habits or negative ties",Baño Herbal,Panel A,,,,
Baño Herbal Espnta Muerto,"Banishing negative spirits, spiritual protection",Baño Herbal,Panel A,,,,
Baño Herbal  Yemoja,"Fertility, motherhood, emotional healing, invoking Yemoja",Baño Herbal,Panel A,,,,
Baño Herbal Amansa Guapo,"Calming anger, sweetening relationships, taming aggressive people",Baño Herbal,Panel A,,,,
Baño Herbal Casino de la Suerte,"Good luck in gambling, attracting fortune, casino success",Baño Herbal,Panel A,,,,
